"first_name","last_name","hire_date"
"Eran","Cusworth","11/14/86"
"Bojan","Zallocco","10/14/86"
"Nevio","Demizu","5/18/86"
"Ziva","Vecchi","7/3/86"
"Mohit","Speek","1/14/86"
"Qunsheng","Speer","2/13/86"
"Dines","Encarnacion","8/2/86"
"Harngdar","Swick","5/28/86"
"Freyja","Uhrig","12/20/86"
"Zhenhua","Milicic","8/4/86"
"Bowen","Schmezko","5/30/86"
"Reuven","Munke","4/13/86"
"Stabislas","Domenig","8/4/86"
"Juichirou","Jumpertz","9/18/86"
"Juichirou","Ghelli","12/13/86"
"Shmuel","Georg","11/30/86"
"Xiadong","Bach","4/29/86"
"Guangming","Butterworth","10/1/86"
"Irene","Setia","8/10/86"
"Shuichi","Swiler","6/8/86"
"Terresa","Perez","9/12/86"
"Lidong","Borovoy","5/30/86"
"Teiji","Eickenmeyer","9/3/86"
"Baocai","Kroha","10/27/86"
"Morrie","Sridhar","3/4/86"
"Taegyun","Speckmann","12/28/86"
"Stabislas","McFarlin","7/19/86"
"Apostol","Ghelli","4/7/86"
"Khun","Kuszyk","6/30/86"
"Conor","Flanders","2/21/86"
"Radhakrishnan","Albarhamtoshy","5/7/86"
"Shigeu","Denna","4/10/86"
"Uta","Frolund","1/22/86"
"Zhiwei","Kaminger","7/4/86"
"Sven","Krider","9/25/86"
"Yannik","Vakili","11/9/86"
"Khatoun","Zeilberger","1/31/86"
"Fox","Erva","5/6/86"
"Huai","Birrer","3/28/86"
"Kristine","Litzler","1/9/86"
"Eirik","Farrel","9/19/86"
"Wayne","Levergood","5/5/86"
"Chrisa","Cullers","1/28/86"
"Manton","Perko","6/18/86"
"Etsuo","Ratzlaff","1/15/86"
"Odysseas","Erie","2/6/86"
"Ingmar","Lambe","10/21/86"
"Marin","Ashish","7/11/86"
"JiYoung","Delaune","9/4/86"
"Sandeepan","Sidou","1/19/86"
"Neven","Leivant","9/2/86"
"Sarita","Hofting","7/3/86"
"Kolar","Karunanithi","12/6/86"
"Shmuel","Impagliazzo","2/19/86"
"Bedrich","Delaune","4/6/86"
"Susanne","Asser","8/5/86"
"Syozo","Sommen","3/25/86"
"Ashish","Ventosa","8/14/86"
"Ingmar","Pollacia","8/21/86"
"Shrikanth","Ramalingam","3/10/86"
"Rimli","Mahnke","4/17/86"
"Adib","Chepyzhov","11/10/86"
"Florina","Kavvadias","12/14/86"
"Kiyomitsu","Bottner","11/7/86"
"Berni","Thorelli","8/5/86"
"Fumiya","Vilarrasa","6/27/86"
"Remzi","Speckmann","11/5/86"
"Georgi","Middleton","11/24/86"
"Zejun","Anandan","3/19/86"
"Kamakshi","Lipner","8/17/86"
"Hyuncheol","Chaudhuri","7/9/86"
"Chandrasekaran","Kaiser","12/30/86"
"Bedir","Bashian","10/5/86"
"Takahira","Spieker","6/5/86"
"Krassimir","Sgarro","8/4/86"
"Maya","Ghemri","6/12/86"
"Eishiro","Dichev","4/29/86"
"Hausi","Kambil","7/3/86"
"Feipei","Clouatre","3/5/86"
"Susumu","Kuszyk","12/12/86"
"Stein","Kulisch","6/11/86"
"Gen","Lundstrom","5/29/86"
"Reinhard","Serre","7/14/86"
"Alain","Fujisaki","4/7/86"
"Alain","Dratva","4/23/86"
"Claudi","Spieker","4/23/86"
"Dulce","Ebeling","3/18/86"
"Jayson","Perri","3/23/86"
"Steen","Hofman","10/8/86"
"Mads","Legleitner","7/11/86"
"Gio","Schauser","10/23/86"
"Takanari","Beznosov","6/10/86"
"Gita","Dichev","11/1/86"
"Barna","Mamelak","1/17/86"
"Junsik","Sinitsyn","11/21/86"
"Snehasis","Anily","3/3/86"
"Behnaam","Schwartzbauer","10/17/86"
"Shem","Petersohn","7/8/86"
"Mokhtar","Chiodo","4/6/86"
"Serif","Streit","3/17/86"
"Teiji","Marrakchi","8/26/86"
"Nathan","Denny","9/16/86"
"Hauke","Giaccio","12/12/86"
"Aral","Baik","3/29/86"
"Seongbin","Poupard","9/29/86"
"Tze","Chinin","9/22/86"
"Joydip","Terkki","3/1/86"
"Jeanne","Zlotek","9/3/86"
"Mikhail","Karner","5/15/86"
"Guenter","Schneeberger","4/20/86"
"Boriana","Mukaidono","8/27/86"
"Kristen","Avouris","9/13/86"
"Insup","Copas","1/3/86"
"Mayumi","Wuwongse","11/20/86"
"Dipankar","Riesenhuber","11/25/86"
"Shichao","Syrzycki","1/10/86"
"Marin","Sidje","10/24/86"
"Boguslaw","Luks","5/7/86"
"Shigeu","Kieras","1/30/86"
"Isamu","Kobuchi","2/2/86"
"Xuedong","Sgarro","12/24/86"
"Ghassan","Walston","6/15/86"
"Armond","Karunanithi","11/13/86"
"Munehiko","Beznosov","1/3/86"
"Kristen","Salverda","7/29/86"
"Kwok","Valiente","12/30/86"
"Mikhail","Salvesen","8/9/86"
"Jaques","Usery","1/11/86"
"Gunilla","Legleitner","11/15/86"
"Ibibia","Dayang","1/29/86"
"Richard","Godskesen","3/22/86"
"Rimli","Bellone","2/3/86"
"Hisao","Lodder","5/8/86"
"Pascal","Leslie","12/22/86"
"Jianwen","Baranowski","5/9/86"
"Gennadi","Beznosov","6/25/86"
"Serge","Sifakis","6/7/86"
"Yuuichi","Sadowski","2/22/86"
"Filipe","Ramamoorthy","11/2/86"
"Billur","Fiutem","6/11/86"
"Vidya","Dymetman","1/1/86"
"Sigeru","Langford","5/17/86"
"Marjo","Cools","12/4/86"
"Boriana","Wendorf","10/6/86"
"Shai","Olano","11/15/86"
"Boalin","Zhang","12/23/86"
"Mario","Narahari","2/12/86"
