"emp_no","emp_title_id","birth_date","first_name","last_name","sex","hire_date"
38161,"s0001","10/12/64","Hercules","Baer","M","2/17/88"
276181,"s0001","10/17/57","Hercules","Biron","F","12/7/94"
236650,"e0002","12/24/64","Hercules","Birge","F","4/13/94"
482148,"e0003","4/5/54","Hercules","Berstel","F","11/2/89"
210097,"e0003","8/27/54","Hercules","Bernatsky","M","11/27/85"
213553,"e0003","8/14/61","Hercules","Bail","F","6/16/87"
250175,"s0001","2/13/59","Hercules","Bodoff","M","9/14/85"
461517,"s0001","7/20/63","Hercules","Benantar","F","6/8/89"
241391,"e0003","2/27/62","Hercules","Bisiani","F","7/19/85"
89844,"e0002","3/1/54","Hercules","Basagni","M","10/25/91"
89382,"s0001","9/3/64","Hercules","Bernardinello","F","2/13/87"
20780,"s0001","11/17/54","Hercules","Baranowski","M","3/9/91"
435221,"e0002","10/17/57","Hercules","Bahr","M","4/6/95"
10282,"e0002","11/27/53","Hercules","Benzmuller","M","6/4/86"
90712,"e0002","8/28/54","Hercules","Biran","F","9/7/94"
294352,"s0001","7/16/52","Hercules","Bain","F","10/17/87"
11337,"s0001","7/31/64","Hercules","Brendel","F","11/20/94"
279195,"s0002","8/14/64","Hercules","Buchter","M","4/16/91"
21870,"e0003","7/6/60","Hercules","Barreiro","M","11/18/88"
438081,"e0002","10/15/60","Hercules","Baak","M","7/31/91"
